jUCf,FpPMUiwXLDA,"[2, 7, 437, 1155]",
FBuz,NbRYYLD6nhw,"[82, 103, 346, 350, 537]",
8Tuz,UdJCesntrT4,"[0, 1, 27]",
rxuz,Q9kwOR3XchM,"[2, 7, 104, 266, 508, 1106]",
7Fuz,QG3M3KbmWPY,[14],
Vluz,_oIfDKmiVWw,"[3, 4, 13]",
WWuz,OtJLHeZQHRo,"[184, 191, 299, 985]",
Cauz,WE_IXGcSJHM,"[0, 1, 339, 687]",
lVuz,WFH_QbjB7lU,"[83, 3789]",
I4uz,WIti6yyZqBg,"[4, 13, 3140]",
l6uz,WP1PEV3avIY,"[1, 2164, 3680]",
LWuz,wRzR7kByfhM,"[0, 93, 102]",
qVuz,0Q3UYrpMK98,"[2, 75, 95, 172, 235, 2780]",
cWuz,r1ojISSTDTI,[14],
uCuz,_x2BiDB-MjE,"[0, 412, 2551]",
L7uz,mNJQ-TyWQM0,"[11, 20, 22, 123, 250, 2094]",
PMuz,mV_Skui07BU,[5],
JSuz,BipENEJmxZo,"[0, 1, 739]",
oluz,7g-y_UZFv58,"[3, 4, 13, 41]",
2Xuz,7pKvIlQq8XA,"[31, 40, 47, 57]",
wfuz,RIjKw2KFgR0,[41],
zjuz,fs-iwEeGTzE,"[0, 1, 1250, 2242, 3518]","[{'text': '[Music]', 'start': 0.71, 'duration': 9.91}, {'text': 'the coolest chunky skylander you ever', 'start': 6.68, 'duration': 27.1}, {'text': ""seen a huge boomerang hi Crockett that's"", 'start': 10.62, 'duration': 31.29}, {'text': 'a huge billet if you notice his belly', 'start': 33.78, 'duration': 11.58}, {'text': 'comes in really handy belly into your', 'start': 41.91, 'duration': 10.11}, {'text': 'hands what what he runs really fast for', 'start': 45.36, 'duration': 9.12}, {'text': ""a guy who's like how do I say this"", 'start': 52.02, 'duration': 8.15}, {'text': 'nicely um not so skinny', 'start': 54.48, 'duration': 5.69}, {'text': 'he can breathe in to attack and he can', 'start': 61.48, 'duration': 16.45}, {'text': 'breathe out to attack he can turn into a', 'start': 71.66, 'duration': 29.7}, {'text': 'lightning bolt thing not that well', 'start': 77.93, 'duration': 25.98}, {'text': ""that's it let us know what you think"", 'start': 101.36, 'duration': 6.57}, {'text': 'about gusto check them later on oh wait', 'start': 103.91, 'duration': 6.33}, {'text': 'thumbs up for the new skylander diet', 'start': 107.93, 'duration': 7.16}, {'text': ""breathe em we don't lose weight like wah"", 'start': 110.24, 'duration': 4.85}, {'text': ""bah bah bah what up guys so it's coming"", 'start': 115.6, 'duration': 7.45}, {'text': 'a boy here we have to add one more thing', 'start': 121.07, 'duration': 5.82}, {'text': ""that skylander girl didn't say Gaston"", 'start': 123.05, 'duration': 7.14}, {'text': 'boomerang is up credible you see that', 'start': 126.89, 'duration': 5.88}, {'text': 'his boomerang is nice and smooth here', 'start': 130.19, 'duration': 6.27}, {'text': 'now he sees boomerang is jagged sharp', 'start': 132.77, 'duration': 6.44}, {'text': 'noises', 'start': 136.46, 'duration': 2.75}, {'text': '[Music]', 'start': 139.49, 'duration': 11.54}]"
g1uz,g-bUHUZ3M9g,"[3, 4, 6]",
nWuz,g4UTu7RWXXM,"[0, 193, 1401]",
7Wuz,xRRP2Qscmbo,"[3, 6, 8]",
Kguz,xbwSDGZ9xWw,"[3, 4, 9]",
Z9uz,Z2yXQ-E8iDs,"[5, 16, 46]","[{'text': 'okay we turn under my nose I turn a', 'start': 11.03, 'duration': 6.43}, {'text': ""particular young giant now we'll get a"", 'start': 15.33, 'duration': 3.959}, {'text': 'little dip in hydrologic but anemia', 'start': 17.46, 'duration': 4.47}, {'text': 'creature no money quicker than the ocean', 'start': 19.289, 'duration': 5.25}, {'text': 'ability emotions are nurturing those', 'start': 21.93, 'duration': 5.009}, {'text': 'wicked egos engine whooshing I did you', 'start': 24.539, 'duration': 5.451}, {'text': 'put me here are you', 'start': 26.939, 'duration': 3.051}, {'text': 'haha pork taco yep imagine Takayama', 'start': 32.45, 'duration': 10.21}, {'text': 'window neon I gotta ah do a quick', 'start': 37.079, 'duration': 6.331}, {'text': 'cooking', 'start': 42.66, 'duration': 4.11}, {'text': '- no Lagoon enjoying I cook video shows', 'start': 43.41, 'duration': 6.899}, {'text': 'a koozie to make Ligety video Oh shine', 'start': 46.77, 'duration': 6.359}, {'text': ""nobody everyone behavior I'm gonna buy a"", 'start': 50.309, 'duration': 6.031}, {'text': 'loaf of mean broken Rubio you bridge are', 'start': 53.129, 'duration': 3.901}, {'text': 'you Gordo', 'start': 56.34, 'duration': 3.05}, {'text': 'w', 'start': 57.03, 'duration': 2.36}, {'text': 'hey I bet menu Lonnie', 'start': 89.24, 'duration': 6.84}, {'text': 'I gotta point home with you today and is', 'start': 92.6, 'duration': 5.85}, {'text': 'it I added it to Mira', 'start': 96.08, 'duration': 5.85}, {'text': ""I mean you're a bear I had a course in"", 'start': 98.45, 'duration': 7.89}, {'text': 'your bed I just get down I go Jojo and', 'start': 101.93, 'duration': 6.75}, {'text': 'Kyle you bully my little water I put', 'start': 106.34, 'duration': 4.19}, {'text': 'them in my new iron', 'start': 108.68, 'duration': 4.86}, {'text': 'Peter aha go learn about little iron', 'start': 110.53, 'duration': 7.75}, {'text': 'gasps you know what okay kill you baby', 'start': 113.54, 'duration': 9.06}, {'text': 'on COBE market ooh my video I they only', 'start': 118.28, 'duration': 8.16}, {'text': 'measure return oh yeah Benny', 'start': 122.6, 'duration': 7.71}, {'text': 'mark Pollard Jordanian yoni militant', 'start': 126.44, 'duration': 7.35}, {'text': ""ideally man obey my anger Puma I'm a man"", 'start': 130.31, 'duration': 7.98}, {'text': ""oh yeah we have been a when you're gay"", 'start': 133.79, 'duration': 8.36}, {'text': 'given domain view holla get dolla', 'start': 138.29, 'duration': 7.43}, {'text': 'mainlining wine', 'start': 142.15, 'duration': 3.57}]"
Zwuz,y-U9Vq-d8cA,"[1595, 1840]","[{'text': 'one of the most remarkable', 'start': 3.799, 'duration': 4.51}, {'text': 'archaeological sites in Asia if not the', 'start': 5.629, 'duration': 5.26}, {'text': 'world the magic of begun has inspired', 'start': 8.309, 'duration': 5.25}, {'text': 'visitors to Myanmar for nearly 1,000', 'start': 10.889, 'duration': 5.16}, {'text': 'years once the center of a glorious', 'start': 13.559, 'duration': 4.741}, {'text': 'kingdom ancient temples stopped the', 'start': 16.049, 'duration': 5.611}, {'text': 'landscape as far as the eye can see over', 'start': 18.3, 'duration': 6.42}, {'text': '3,000 monuments a testament to began as', 'start': 21.66, 'duration': 5.16}, {'text': 'a former center of Buddhist spirituality', 'start': 24.72, 'duration': 4.26}, {'text': 'and learning are scattered by the plains', 'start': 26.82, 'duration': 5.22}, {'text': 'of the a awadhi River the kings of', 'start': 28.98, 'duration': 7.65}, {'text': 'Myanmar from 1044 to 1287 to voted their', 'start': 32.04, 'duration': 6.75}, {'text': 'energy and considerable resources to', 'start': 36.63, 'duration': 4.47}, {'text': ""building for Goda's and temples while"", 'start': 38.79, 'duration': 4.05}, {'text': 'their great palaces which were built of', 'start': 41.1, 'duration': 3.66}, {'text': 'wood have since burnt down or crumbled', 'start': 42.84, 'duration': 3.93}, {'text': 'away hundreds of temples and pagodas', 'start': 44.76, 'duration': 5.85}, {'text': 'remain on the banks of the river as a', 'start': 46.77, 'duration': 6.12}, {'text': 'World Heritage Site begun stands', 'start': 50.61, 'duration': 3.96}, {'text': 'alongside the other great buddhist', 'start': 52.89, 'duration': 4.2}, {'text': 'centers of Southeast Asia comparable', 'start': 54.57, 'duration': 6.289}, {'text': 'only to Angkor Wat in Cambodia', 'start': 57.09, 'duration': 3.769}, {'text': 'the gun cannot fail to move you ask any', 'start': 87.13, 'duration': 5.129}, {'text': 'visitor who was witnessed the Sun Rise', 'start': 90.28, 'duration': 4.68}, {'text': 'or set across these fields of young', 'start': 92.259, 'duration': 8.341}, {'text': 'temples what should have been the', 'start': 94.96, 'duration': 8.4}, {'text': 'largest pagoda in the world the project', 'start': 100.6, 'duration': 5.25}, {'text': 'was interrupted in 1819 when the King', 'start': 103.36, 'duration': 4.799}, {'text': 'died and it was never completed an', 'start': 105.85, 'duration': 4.439}, {'text': 'earthquake also split some of the', 'start': 108.159, 'duration': 5.6}, {'text': 'structures into several pieces', 'start': 110.289, 'duration': 3.47}, {'text': 'it was from mandalay hill but Buddha', 'start': 126.85, 'duration': 4.62}, {'text': 'allegedly prophesized a city on the', 'start': 129.1, 'duration': 5.04}, {'text': 'plains below the view from this handsome', 'start': 131.47, 'duration': 5.76}, {'text': 'mound is quite enchanting Mandalay a', 'start': 134.14, 'duration': 6.03}, {'text': 'dusty city close up is quite scenic from', 'start': 137.23, 'duration': 5.37}, {'text': 'the holy hill and the patchwork of paddy', 'start': 140.17, 'duration': 4.5}, {'text': 'fields River and countless monasteries', 'start': 142.6, 'duration': 5.04}, {'text': 'makes for a serene sunset particularly', 'start': 144.67, 'duration': 4.77}, {'text': 'with the murmur of the praying monks', 'start': 147.64, 'duration': 5.63}, {'text': 'drifting from the monasteries below', 'start': 149.44, 'duration': 3.83}, {'text': ""don't have for trade purposes Buddhism"", 'start': 173.8, 'duration': 5.68}, {'text': 'became the dominant religion of Myanmar', 'start': 177.56, 'duration': 4.44}, {'text': 'only after King and Arthur ascended the', 'start': 179.48, 'duration': 4.59}, {'text': 'throne of the Burmese Kingdom in begun', 'start': 182.0, 'duration': 6.18}, {'text': 'in 1044 King Ana Rafa was converted to', 'start': 184.07, 'duration': 6.81}, {'text': 'Buddhism by a mon missionary by the name', 'start': 188.18, 'duration': 6.09}, {'text': 'of shin Arana as in tyler which was', 'start': 190.88, 'duration': 5.52}, {'text': 'considerably later converted to buddhism', 'start': 194.27, 'duration': 4.5}, {'text': 'by maan missionaries in Myanmar a', 'start': 196.4, 'duration': 4.41}, {'text': 'Buddhist temple is always the centre of', 'start': 198.77, 'duration': 4.41}, {'text': 'the village community like in Thailand', 'start': 200.81, 'duration': 4.5}, {'text': 'Myanmar Buddhist temples are the', 'start': 203.18, 'duration': 4.29}, {'text': 'traditional places for education and', 'start': 205.31, 'duration': 4.8}, {'text': 'again like in Thailand every male', 'start': 207.47, 'duration': 6.74}, {'text': 'Burmese is expected to temporary', 'start': 210.11, 'duration': 4.1}]"
RYuz,yB5aHSHnFfk,"[4, 6, 33, 1700]",
6Wuz,liRnjWQIYtU,"[0, 1, 561, 959]","[{'text': 'jailer arcane business careful yeah fuck', 'start': 7.389, 'duration': 13.181}, {'text': 'that getting out of it okay', 'start': 16.91, 'duration': 6.35}, {'text': 'p', 'start': 20.57, 'duration': 2.69}, {'text': ""you're sitting in arcane beam oh my god"", 'start': 24.31, 'duration': 7.229}, {'text': ""what's going on bro I don't know"", 'start': 35.12, 'duration': 4.43}, {'text': 'you have no idea oh my god oh my god no', 'start': 45.179, 'duration': 14.101}, {'text': 'no oh my god oh god oh my god fuck dude', 'start': 49.929, 'duration': 16.01}, {'text': ""you're alive I'm glitched in the walbro"", 'start': 59.28, 'duration': 6.659}, {'text': ""your what to do don't worry buddy i know"", 'start': 67.229, 'duration': 5.53}, {'text': 'i potted i potted i could do everything', 'start': 70.78, 'duration': 6.379}, {'text': ""I just can't move I'm stuck in the wall"", 'start': 72.759, 'duration': 9.15}, {'text': ""can you like hers that no I'm stuck in"", 'start': 77.159, 'duration': 8.201}, {'text': 'the wall like I charge there and I got', 'start': 81.909, 'duration': 5.721}, {'text': 'stuck', 'start': 85.36, 'duration': 2.27}, {'text': 'like all I was doing was like watching', 'start': 93.43, 'duration': 4.29}, {'text': 'your health and picking up hope glimpse', 'start': 95.95, 'duration': 5.76}, {'text': ""in in accordance to it dude it wasn't"", 'start': 97.72, 'duration': 7.67}, {'text': 'like or anything was just glitched', 'start': 101.71, 'duration': 8.07}, {'text': 'mmm-hmm I was like spam in charge I like', 'start': 105.39, 'duration': 9.49}, {'text': ""site a stun it's just this that was dumb"", 'start': 109.78, 'duration': 9.48}, {'text': 'as hell remember I mean that does this', 'start': 114.88, 'duration': 8.21}, {'text': 'is cryptic rip returns the favor', 'start': 119.26, 'duration': 3.83}, {'text': 'you', 'start': 129.569, 'duration': 2.06}]"
fIuz,lp6-yVqtzV4,"[0, 1, 977, 1340]","[{'text': ""hi it's that's right from Odyssey and"", 'start': 17.95, 'duration': 5.01}, {'text': 'bringing another video from the test', 'start': 20.35, 'duration': 6.15}, {'text': ""server and game update 33 we're going to"", 'start': 22.96, 'duration': 4.59}, {'text': 'be gone over in this video is just', 'start': 26.5, 'duration': 3.33}, {'text': 'couple of the miscellaneous minor', 'start': 27.55, 'duration': 6.12}, {'text': ""changes that they've made and one of"", 'start': 29.83, 'duration': 6.03}, {'text': 'perhaps the most appealing ones is that', 'start': 33.67, 'duration': 5.7}, {'text': 'they have changed the the reward box', 'start': 35.86, 'duration': 5.85}, {'text': 'that you get for the take pride mission', 'start': 39.37, 'duration': 6.54}, {'text': 'or for the the the Jew is running the', 'start': 41.71, 'duration': 5.76}, {'text': ""Jews five times they've changed these"", 'start': 45.91, 'duration': 3.8}, {'text': 'your box so that they always drop the', 'start': 47.47, 'duration': 7.62}, {'text': 'books and they never drop the marks so', 'start': 49.71, 'duration': 6.88}, {'text': ""just to show this off here I've already"", 'start': 55.09, 'duration': 4.59}, {'text': 'done at once and got one of the style', 'start': 56.59, 'duration': 4.95}, {'text': 'pieces but will run again and just show', 'start': 59.68, 'duration': 3.39}, {'text': ""you that you're getting these pics all"", 'start': 61.54, 'duration': 9.81}, {'text': 'the time so we should be able to see', 'start': 63.07, 'duration': 12.0}, {'text': 'here once again when we open up our', 'start': 71.35, 'duration': 11.49}, {'text': 'reward box what we get is a boot should', 'start': 75.07, 'duration': 9.99}, {'text': 'make air completing the style feeds much', 'start': 82.84, 'duration': 4.46}, {'text': 'much easier', 'start': 85.06, 'duration': 2.24}, {'text': 'one of the other minor updates has been', 'start': 93.24, 'duration': 4.48}, {'text': 'made in game update 33 is in the', 'start': 95.5, 'duration': 4.8}, {'text': 'flashback jus the floor of these tunnels', 'start': 97.72, 'duration': 7.35}, {'text': 'shoot that is no longer animated so it', 'start': 100.3, 'duration': 6.99}, {'text': 'brings it more in line with the tunnels', 'start': 105.07, 'duration': 6.05}, {'text': 'that are in the origin crisis by', 'start': 107.29, 'duration': 6.83}, {'text': 'scenarios', 'start': 111.12, 'duration': 3.0}, {'text': ""there's been a minor update and legends"", 'start': 127.229, 'duration': 5.471}, {'text': 'PvP for to face his barrel attack is no', 'start': 130.06, 'duration': 4.65}, {'text': 'longer vulnerable to interrupt counter', 'start': 132.7, 'duration': 4.4}, {'text': 'mechanics', 'start': 134.71, 'duration': 2.39}, {'text': 'you', 'start': 143.09, 'duration': 2.06}, {'text': 'one of the other things that was done', 'start': 150.31, 'duration': 3.849}, {'text': 'that was a bounce pass was done on the', 'start': 152.18, 'duration': 4.44}, {'text': 'charge tax of all of the different', 'start': 154.159, 'duration': 4.53}, {'text': 'weapons he had weapons like one-handed', 'start': 156.62, 'duration': 4.56}, {'text': 'and staff with their focus blaster focus', 'start': 158.689, 'duration': 4.8}, {'text': 'been doing far more damage than they', 'start': 161.18, 'duration': 5.07}, {'text': 'intended and other weapons lead shields', 'start': 163.489, 'duration': 6.181}, {'text': 'charge double through far less so they', 'start': 166.25, 'duration': 4.799}, {'text': ""weren't given a full list so we'll go"", 'start': 169.67, 'duration': 3.39}, {'text': 'over all the different weapons and how', 'start': 171.049, 'duration': 5.3}, {'text': ""much damage they're doing now"", 'start': 173.06, 'duration': 3.289}, {'text': 'you', 'start': 301.42, 'duration': 2.06}, {'text': 'finally there was a number of changes', 'start': 350.66, 'duration': 4.15}, {'text': ""made to the UI and can't really show off"", 'start': 352.44, 'duration': 4.2}, {'text': 'many of these particular either a lot of', 'start': 354.81, 'duration': 3.42}, {'text': 'them were just kind of minor fixes and', 'start': 356.64, 'duration': 2.94}, {'text': 'things but I can read out the patch', 'start': 358.23, 'duration': 5.22}, {'text': 'notes so in the PC for the marketplace', 'start': 359.58, 'duration': 5.58}, {'text': 'the buttons in the header pins should no', 'start': 363.45, 'duration': 3.93}, {'text': 'longer avert default text when rolling', 'start': 365.16, 'duration': 5.19}, {'text': 'over them with a mouse also in the', 'start': 367.38, 'duration': 4.56}, {'text': 'marketplace players can now purchase', 'start': 370.35, 'duration': 3.54}, {'text': 'claimable items from the in-game', 'start': 371.94, 'duration': 3.86}, {'text': 'marketplace when their inventory is full', 'start': 373.89, 'duration': 3.96}, {'text': 'additionally players should no longer be', 'start': 375.8, 'duration': 3.43}, {'text': 'able to purchase items that are', 'start': 377.85, 'duration': 2.85}, {'text': 'delivered straight to your of entry if', 'start': 379.23, 'duration': 5.19}, {'text': 'their inventory is full the ability tree', 'start': 380.7, 'duration': 5.1}, {'text': 'they build it through power status', 'start': 384.42, 'duration': 3.39}, {'text': 'should no longer get out of sinks when', 'start': 385.8, 'duration': 5.34}, {'text': 'switching between para trees character', 'start': 387.81, 'duration': 5.25}, {'text': 'select fix an issue with the carrot', 'start': 391.14, 'duration': 4.2}, {'text': 'access levels not displaying throttle in', 'start': 393.06, 'duration': 5.7}, {'text': 'certain languages and in the law each', 'start': 395.34, 'duration': 5.37}, {'text': 'section of the treats menu it should now', 'start': 398.76, 'duration': 5.6}, {'text': 'see tank rather than defense', 'start': 400.71, 'duration': 3.65}]"
aquz,lt7Wtm3NQ-w,"[6, 8, 206]",
Fiuz,lvVN8EChTXQ,[210],
Tsuz,lxBiqYdjYGc,"[15, 18, 67, 1434]",
LKuz,Agy2jRuN3ag,"[2, 691]",
1Uuz,NDJPlWa8cdw,"[1, 5, 2411]",
ikuz,UyqMX9K63bs,"[2, 7, 17, 128, 174, 1219]",
6Tuz,V7yZJ5QbTyg,[115],
9xuz,N3-e0Kq-yC0,"[0, 12]",
C2uz,N6H-fcSZtNE,[52],"[{'text': 'the Christmas for some families at the', 'start': 0.0, 'duration': 5.4}, {'text': 'lodge which is really cool and we all', 'start': 1.829, 'duration': 5.941}, {'text': 'put our Santa hats and I got to dress up', 'start': 5.4, 'duration': 5.489}, {'text': 'as Santa and it was cool just to see', 'start': 7.77, 'duration': 5.31}, {'text': ""there's to help out in the community it"", 'start': 10.889, 'duration': 4.051}, {'text': 'was a good deal kid to go home and enjoy', 'start': 13.08, 'duration': 3.69}, {'text': 'Christmas with your family before them', 'start': 14.94, 'duration': 7.62}, {'text': 'um sort of we got to go on for like', 'start': 16.77, 'duration': 8.249}, {'text': ""three days my family wasn't there but I"", 'start': 22.56, 'duration': 6.139}, {'text': 'mean most most guys got to see anything', 'start': 25.019, 'duration': 6.721}, {'text': 'but it was it was good to get away step', 'start': 28.699, 'duration': 5.501}, {'text': 'away from the game a little bit and go', 'start': 31.74, 'duration': 4.53}, {'text': ""home and see people that you haven't"", 'start': 34.2, 'duration': 4.679}, {'text': 'seen in a while and um you know do stuff', 'start': 36.27, 'duration': 6.059}, {'text': 'in your own community and then come back', 'start': 38.879, 'duration': 6.961}, {'text': 'here and and you know go back to work on', 'start': 42.329, 'duration': 4.98}, {'text': 'the grind and you know so I have a', 'start': 45.84, 'duration': 3.449}, {'text': 'chance to do some stuff in the community', 'start': 47.309, 'duration': 4.77}, {'text': ""so it's just kind of off and on and kind"", 'start': 49.289, 'duration': 6.441}, {'text': 'of like taking stuff off know us like', 'start': 52.079, 'duration': 5.881}, {'text': 'you know doing stuff in the community is', 'start': 55.73, 'duration': 4.599}, {'text': ""really good for us because you know it's"", 'start': 57.96, 'duration': 5.579}, {'text': 'not we can do so much stuff I just', 'start': 60.329, 'duration': 4.921}, {'text': ""haven't you know the name on our jersey"", 'start': 63.539, 'duration': 4.381}, {'text': 'so um this is real powerful what do you', 'start': 65.25, 'duration': 9.869}, {'text': ""remember about playing it's loud I'm"", 'start': 67.92, 'duration': 9.03}, {'text': 'just really fun environment because they', 'start': 75.119, 'duration': 4.5}, {'text': ""hate us it's just I mean it's fun to"", 'start': 76.95, 'duration': 5.19}, {'text': 'play in those conditions you feed on', 'start': 79.619, 'duration': 5.61}, {'text': 'that you do like when you go into a', 'start': 82.14, 'duration': 4.619}, {'text': 'place and you know the other side and', 'start': 85.229, 'duration': 4.561}, {'text': 'their fans have sort of a hate for you', 'start': 86.759, 'duration': 7.261}, {'text': ""ah it's just makes a game that much more"", 'start': 89.79, 'duration': 7.71}, {'text': ""passionate you know it's not dulls not"", 'start': 94.02, 'duration': 6.09}, {'text': ""it's not it's not like quiet it's going"", 'start': 97.5, 'duration': 5.64}, {'text': 'to be loud the whole time so the energy', 'start': 100.11, 'duration': 4.77}, {'text': 'levels going to be up like your journal', 'start': 103.14, 'duration': 3.33}, {'text': 'is going to be pumping from the gate so', 'start': 104.88, 'duration': 3.93}, {'text': 'on those games are the best play so far', 'start': 106.47, 'duration': 4.109}, {'text': ""when you've had games that you've go up"", 'start': 108.81, 'duration': 5.64}, {'text': 'against other NBA big guys NBA equality', 'start': 110.579, 'duration': 5.101}, {'text': ""big as you've risen to the occasion"", 'start': 114.45, 'duration': 3.48}, {'text': ""we'll just playing against a guy like"", 'start': 115.68, 'duration': 5.75}, {'text': 'Harold as I get you excited all', 'start': 117.93, 'duration': 5.7}, {'text': ""and I don't really look at it like that"", 'start': 121.43, 'duration': 5.32}, {'text': ""I kind of look at it you know I'm kind"", 'start': 123.63, 'duration': 5.849}, {'text': ""of battling against myself and that's"", 'start': 126.75, 'duration': 4.92}, {'text': ""the way I've gone into every game I mean"", 'start': 129.479, 'duration': 4.321}, {'text': ""doesn't our who it is and not I just"", 'start': 131.67, 'duration': 5.57}, {'text': 'kind of go into with a clear mind and um', 'start': 133.8, 'duration': 5.909}, {'text': 'you know not look at the big picture', 'start': 137.24, 'duration': 4.3}, {'text': 'like that and just look at the small', 'start': 139.709, 'duration': 4.291}, {'text': 'things do the little small things on you', 'start': 141.54, 'duration': 3.96}, {'text': 'know that i do while i play and', 'start': 144.0, 'duration': 3.09}, {'text': 'everything else kind of take care of', 'start': 145.5, 'duration': 3.33}, {'text': 'itself what what sort of things do you', 'start': 147.09, 'duration': 3.899}, {'text': 'look at will are you to judge playing', 'start': 148.83, 'duration': 8.46}, {'text': 'against yourself um like moving around', 'start': 150.989, 'duration': 8.881}, {'text': 'you know being a rover spring floor', 'start': 157.29, 'duration': 6.57}, {'text': 'every time you know making sure I check', 'start': 159.87, 'duration': 6.06}, {'text': 'out every x little stuff like that that', 'start': 163.86, 'duration': 4.23}, {'text': 'that could lose you the game and it can', 'start': 165.93, 'duration': 3.75}, {'text': ""we need the game so me because they're"", 'start': 168.09, 'duration': 3.81}, {'text': 'crazy the most physical team we play so', 'start': 169.68, 'duration': 6.77}, {'text': ""far and it's gonna be tough it's not"", 'start': 171.9, 'duration': 4.55}, {'text': 'my brother no pets after using on game', 'start': 178.629, 'duration': 5.951}, {'text': 'game leases like that I just take off my', 'start': 182.269, 'duration': 4.351}, {'text': ""phone so I don't really pay attention to"", 'start': 184.58, 'duration': 4.409}, {'text': ""it doesn't really matter because he did"", 'start': 186.62, 'duration': 4.83}, {'text': 'not grow up in this area how long does', 'start': 188.989, 'duration': 4.771}, {'text': 'it take to appreciate the rivalry of', 'start': 191.45, 'duration': 4.47}, {'text': ""what what's involved in our deep it goes"", 'start': 193.76, 'duration': 4.289}, {'text': ""me I still don't understand why it's"", 'start': 195.92, 'duration': 4.02}, {'text': ""okay because i mean i'm from texas and"", 'start': 198.049, 'duration': 5.041}, {'text': 'A&M in the university of texas there are', 'start': 199.94, 'duration': 4.71}, {'text': ""bones what is no it's not like this you"", 'start': 203.09, 'duration': 4.14}, {'text': 'know people generally hate each other so', 'start': 204.65, 'duration': 5.399}, {'text': ""I mean it's crazy but I mean it makes"", 'start': 207.23, 'duration': 6.18}, {'text': ""the ain't even fun even more fun we"", 'start': 210.049, 'duration': 8.641}, {'text': ""remember the way they play and it's a"", 'start': 213.41, 'duration': 10.74}, {'text': 'fast if I physical first home fed them', 'start': 218.69, 'duration': 7.409}, {'text': 'at our house we made some shots and', 'start': 224.15, 'duration': 4.619}, {'text': 'stuff like that second time we just', 'start': 226.099, 'duration': 5.191}, {'text': ""can't kept fighting back or you try out"", 'start': 228.769, 'duration': 4.891}, {'text': 'for a part of a game just go fight back', 'start': 231.29, 'duration': 4.229}, {'text': ""it's not physical a game do you think"", 'start': 233.66, 'duration': 5.1}, {'text': ""it's going to be I think to be a real"", 'start': 235.519, 'duration': 5.94}, {'text': ""physical game that's that's just a way"", 'start': 238.76, 'duration': 5.46}, {'text': ""where we've been we've been turning out"", 'start': 241.459, 'duration': 5.43}, {'text': ""to be as you've seen we've gone begun or"", 'start': 244.22, 'duration': 5.68}, {'text': 'become more physical and', 'start': 246.889, 'duration': 6.93}, {'text': 'either this is where they give some turn', 'start': 249.9, 'duration': 3.919}, {'text': ""they've made of it Pitino the other"", 'start': 254.689, 'duration': 3.82}, {'text': 'night made up against about rebounding', 'start': 257.009, 'duration': 3.361}, {'text': 'the way you guys beat him on the boards', 'start': 258.509, 'duration': 3.72}, {'text': ""last year that's something they've got"", 'start': 260.37, 'duration': 4.38}, {'text': 'to do a better job against how do you', 'start': 262.229, 'duration': 4.051}, {'text': 'feel like the matchup looks from that', 'start': 264.75, 'duration': 5.669}, {'text': ""perspective this year I know that's"", 'start': 266.28, 'duration': 8.22}, {'text': ""something we're working on individually"", 'start': 270.419, 'duration': 6.211}, {'text': 'as Biggs and as guards just to get more', 'start': 274.5, 'duration': 4.94}, {'text': ""rebound so we'll see how that turns out"", 'start': 276.63, 'duration': 6.03}, {'text': 'how much help what about the break just', 'start': 279.44, 'duration': 4.57}, {'text': 'having a couple of two or three days to', 'start': 282.66, 'duration': 2.85}, {'text': 'get away from things how much cheese', 'start': 284.01, 'duration': 4.68}, {'text': 'make that layoff helped you guys I think', 'start': 285.51, 'duration': 4.68}, {'text': 'it helped a lot especially because we', 'start': 288.69, 'duration': 3.78}, {'text': 'were able to just be able to go home and', 'start': 290.19, 'duration': 4.229}, {'text': 'have fun with it relax with our families', 'start': 292.47, 'duration': 4.86}, {'text': 'and go show our loved ones how much we', 'start': 294.419, 'duration': 4.291}, {'text': 'loved their love and respect them and', 'start': 297.33, 'duration': 4.07}, {'text': ""what they've done for us"", 'start': 298.71, 'duration': 2.69}]"
tOuz,O1ifHMjluMc,"[4, 6, 9, 14]",
ceuz,O30yqZ5ZA7k,"[6, 8]",
wKuz,OIL_YlUxKQw,[12],
yNuz,OI9nAmX_6Hg,[304],
v0uz,W_AcumtehDw,"[15, 18, 87, 1779]",
2Nuz,jDYhgkhrIDU,[6],
