ZJba,IRPF5YdtK7I,"[5, 16, 1027, 1903]",
cEb5,qxjH-43VDmY,[0],
s6b5,tIV9xXWyD8E,"[6, 8]",
glb5,puXfGoroFIc,"[0, 1, 5, 69, 84, 169, 476, 1129, 2121]",
EGb5,5nDeyORQEVA,"[0, 1, 916]",
fHb5,5sPGUqSDv0Y,"[15, 18, 170, 314]",
7yb5,KHznvxAo66I,[8],
7zb5,KI5nFJ8l8oQ,"[390, 485]","[{'text': ""so there's my base deadline I need to"", 'start': 0.06, 'duration': 5.279}, {'text': ""manage from the edge now you're gonna"", 'start': 2.07, 'duration': 6.63}, {'text': 'need an iron for this apart probably can', 'start': 5.339, 'duration': 5.331}, {'text': 'do it with this fabric without an iron', 'start': 8.7, 'duration': 5.16}, {'text': ""but it's better to have an iron and what"", 'start': 10.67, 'duration': 5.369}, {'text': ""I'm gonna do is I'm gonna fold back"", 'start': 13.86, 'duration': 5.249}, {'text': 'right on my eighth of an inch basted', 'start': 16.039, 'duration': 11.441}, {'text': 'line using that as a guide this is', 'start': 19.109, 'duration': 10.891}, {'text': 'fabric again this fabric is really', 'start': 27.48, 'duration': 7.47}, {'text': 'really excellent for staying in place', 'start': 30.0, 'duration': 7.649}, {'text': 'and not having to use an iron but when', 'start': 34.95, 'duration': 5.58}, {'text': 'you do with your sewing sampler that', 'start': 37.649, 'duration': 4.021}, {'text': ""you're gonna have to hand in you're"", 'start': 40.53, 'duration': 3.36}, {'text': ""gonna have a softer fabric you're not"", 'start': 41.67, 'duration': 3.659}, {'text': 'gonna be able to do what I just did', 'start': 43.89, 'duration': 4.29}, {'text': ""there okay so we're gonna be working"", 'start': 45.329, 'duration': 7.971}, {'text': 'inside this fold right in here okay and', 'start': 48.18, 'duration': 8.55}, {'text': 'the blind stitch it actually does look', 'start': 53.3, 'duration': 6.61}, {'text': 'like very much what the book looks like', 'start': 56.73, 'duration': 13.41}, {'text': ""so that's a good reference right and as"", 'start': 59.91, 'duration': 11.99}, {'text': ""always we're gonna try and hide that"", 'start': 70.14, 'duration': 6.479}, {'text': ""that knot and in this case we're not"", 'start': 71.9, 'duration': 7.6}, {'text': ""working on the fold we're working"", 'start': 76.619, 'duration': 5.661}, {'text': 'underneath the fold', 'start': 79.5, 'duration': 2.78}, {'text': 'these stitches are about a quarter of an', 'start': 88.46, 'duration': 7.36}, {'text': 'inch in in width and basically what I', 'start': 91.26, 'duration': 7.89}, {'text': ""did was I'm working this folds an eighth"", 'start': 95.82, 'duration': 4.89}, {'text': ""of an inch so I'm working in the center"", 'start': 99.15, 'duration': 4.71}, {'text': ""of it so I'm gonna go down and over an"", 'start': 100.71, 'duration': 5.34}, {'text': 'eighth of an inch I mean a quarter of an', 'start': 103.86, 'duration': 2.61}, {'text': 'inch', 'start': 106.05, 'duration': 8.28}, {'text': ""I'm gonna take my single yarn remember"", 'start': 106.47, 'duration': 11.34}, {'text': ""that single yarn that's gonna give it"", 'start': 114.33, 'duration': 13.5}, {'text': ""everybody and then I'm gonna go up and"", 'start': 117.81, 'duration': 12.929}, {'text': 'over another quarter of an inch and this', 'start': 127.83, 'duration': 5.49}, {'text': ""stitch that I'm taking here can be a"", 'start': 130.739, 'duration': 4.861}, {'text': ""little bigger because it's not gonna"", 'start': 133.32, 'duration': 4.98}, {'text': 'show on the outside but you have to make', 'start': 135.6, 'duration': 5.1}, {'text': ""sure see I'm gonna fold back and check"", 'start': 138.3, 'duration': 7.469}, {'text': ""that okay so that's more than a single"", 'start': 140.7, 'duration': 8.85}, {'text': ""yarn and what I'm ending up with is kind"", 'start': 145.769, 'duration': 8.271}, {'text': 'of a wide V alright so down and over a', 'start': 149.55, 'duration': 7.909}, {'text': 'quarter of an inch', 'start': 154.04, 'duration': 3.419}, {'text': 'take my single yarn and up and over', 'start': 164.58, 'duration': 9.11}, {'text': 'another quarter of an inch', 'start': 169.91, 'duration': 6.88}, {'text': ""making sure see I'm coming out the side"", 'start': 173.69, 'duration': 6.94}, {'text': ""that's not what I want I want to stay"", 'start': 176.79, 'duration': 8.01}, {'text': 'inside the fold and that could be the', 'start': 180.63, 'duration': 9.39}, {'text': ""hardest part of this stitch I'm still on"", 'start': 184.8, 'duration': 7.53}, {'text': 'the outside having a hard time doing', 'start': 190.02, 'duration': 4.58}, {'text': 'this', 'start': 192.33, 'duration': 2.27}, {'text': 'I could feel it when I get through there', 'start': 199.849, 'duration': 14.461}, {'text': ""we go see there's my wide feet down and"", 'start': 202.579, 'duration': 17.72}, {'text': 'over quarter of an inch', 'start': 214.31, 'duration': 5.989}, {'text': 'up and over another quarter of an inch', 'start': 226.58, 'duration': 5.12}, {'text': ""there that's what they look like"", 'start': 240.45, 'duration': 4.16}]"
UVb5,UddXAdewYv0,"[18, 43, 59, 238]",
XEb5,_bQvnW4LDPI,"[2, 544, 1089]",
m3b5,_dQnp2WwD8k,"[15, 499, 723, 946, 1145]","[{'text': ""I am so the first day that I've had my"", 'start': 1.6, 'duration': 6.509}, {'text': 'bees we went to the be hard yesterday to', 'start': 5.859, 'duration': 4.831}, {'text': ""pick them up and I'm about ready to feed"", 'start': 8.109, 'duration': 5.221}, {'text': ""them so I thought I'd draw get suited up"", 'start': 10.69, 'duration': 8.97}, {'text': ""here I always wear the suit I've seen"", 'start': 13.33, 'duration': 9.9}, {'text': ""people don't but i don't know I'm not"", 'start': 19.66, 'duration': 6.5}, {'text': 'that brave I guess', 'start': 23.23, 'duration': 2.93}, {'text': ""make sure that I'm all sealed in"", 'start': 33.78, 'duration': 3.74}, {'text': 'and get my gloves on', 'start': 39.42, 'duration': 3.08}, {'text': 'after we found a queen and nod and five', 'start': 49.94, 'duration': 5.97}, {'text': 'good frames of brood yesterday and put', 'start': 53.21, 'duration': 6.48}, {'text': 'them into my knucks and in my todd heap', 'start': 55.91, 'duration': 8.49}, {'text': 'hide bodies I brought him home and they', 'start': 59.69, 'duration': 7.89}, {'text': 'were strapped up it was wrapped up so', 'start': 64.4, 'duration': 5.19}, {'text': 'the day so that they were gone secure', 'start': 67.58, 'duration': 5.719}, {'text': 'plus the front entrance was sealed off', 'start': 69.59, 'duration': 11.61}, {'text': ""with this screen dwyer block okay I'm"", 'start': 73.299, 'duration': 9.701}, {'text': 'about the feet on first thing I do is', 'start': 81.2, 'duration': 4.65}, {'text': ""like I've got my smoker going going good"", 'start': 83.0, 'duration': 6.86}, {'text': 'smoke the DS a little bit', 'start': 85.85, 'duration': 4.01}, {'text': 'you can come a little closer now', 'start': 94.17, 'duration': 4.129}, {'text': ""you don't need a lot of smoke up a"", 'start': 101.45, 'duration': 9.029}, {'text': ""little now I won't open these hides up"", 'start': 103.25, 'duration': 9.719}, {'text': 'for five days after you bring them back', 'start': 110.479, 'duration': 6.841}, {'text': 'but I do need to feed them so I just pop', 'start': 112.969, 'duration': 10.46}, {'text': 'off this was solid good i got in here--', 'start': 117.32, 'duration': 6.109}, {'text': 'kind of tight', 'start': 123.46, 'duration': 6.06}, {'text': 'there we go oh I can see the bees at all', 'start': 126.67, 'duration': 5.34}, {'text': ""and they're happy so now I've made up an"", 'start': 129.52, 'duration': 6.079}, {'text': 'ultra-thin seeding solution which is', 'start': 132.01, 'duration': 6.33}, {'text': 'four pounds of sugar to one gal at a', 'start': 135.599, 'duration': 7.211}, {'text': ""water I let it cool and it's in the jar"", 'start': 138.34, 'duration': 6.66}, {'text': 'with the holes on the top I just turn it', 'start': 142.81, 'duration': 8.27}, {'text': 'over put it on those guys are off that', 'start': 145.0, 'duration': 8.4}, {'text': 'will come over to the other one and do', 'start': 151.08, 'duration': 6.75}, {'text': 'the same thing a little more salt', 'start': 153.4, 'duration': 4.43}, {'text': 'get my hi this is rj Hawkeye cool', 'start': 163.58, 'duration': 13.67}, {'text': 'and those guys are all fat like I said I', 'start': 194.08, 'duration': 4.95}, {'text': 'open it up in five days and I check to', 'start': 196.39, 'duration': 3.96}, {'text': ""see if the Queen's good i'm pretty"", 'start': 199.03, 'duration': 2.67}, {'text': 'confident because the bees are pretty', 'start': 200.35, 'duration': 2.73}, {'text': ""active coming in and out they've already"", 'start': 201.7, 'duration': 3.99}, {'text': 'found a pile and slowest one last thing', 'start': 203.08, 'duration': 4.35}, {'text': ""I'd like to show you is how is the water"", 'start': 205.69, 'duration': 4.41}, {'text': ""supply I have 40 I've got a real simple"", 'start': 207.43, 'duration': 4.95}, {'text': 'setup here you might want to come in', 'start': 210.1, 'duration': 5.64}, {'text': 'real close to feed us just a bucket did', 'start': 212.38, 'duration': 6.0}, {'text': ""I drill some holes in so that doesn't"", 'start': 215.74, 'duration': 4.8}, {'text': 'overflow and I put some styrofoam', 'start': 218.38, 'duration': 4.56}, {'text': 'floaties in there for the bees to to', 'start': 220.54, 'duration': 4.98}, {'text': 'stand on while they drink so I just set', 'start': 222.94, 'duration': 3.93}, {'text': ""this over here they've got food"", 'start': 225.52, 'duration': 3.39}, {'text': 'supplying a water supply to bring it in', 'start': 226.87, 'duration': 4.41}, {'text': ""pollen I'm pretty happy and we'll see"", 'start': 228.91, 'duration': 4.76}, {'text': 'you next time', 'start': 231.28, 'duration': 2.39}]"
tkb5,_pnpq4NGhoc,"[227, 474]","[{'text': 'hey guys this is done from a little bit', 'start': 0.03, 'duration': 3.27}, {'text': 'bucket today I am heading down south', 'start': 1.62, 'duration': 3.63}, {'text': 'pumps and support penis brand new', 'start': 3.3, 'duration': 4.32}, {'text': 'shipper Tanya have a tour on board and', 'start': 5.25, 'duration': 4.019}, {'text': 'stay overnight to come join me and check', 'start': 7.62, 'duration': 9.95}, {'text': ""it out so I've just arrived"", 'start': 9.269, 'duration': 8.301}, {'text': ""I'm on the outside that you've returned"", 'start': 48.329, 'duration': 4.67}, {'text': 'here which are pretty cool', 'start': 50.219, 'duration': 2.78}, {'text': 'Oh', 'start': 70.86, 'duration': 2.0}, {'text': 'just around to my cabin which is a', 'start': 171.94, 'duration': 5.68}, {'text': 'unobstructed balcony the sofa capital of', 'start': 174.68, 'duration': 26.07}, {'text': 'B to 0-4 and come check out with me did', 'start': 177.62, 'duration': 24.869}, {'text': ""I conclude the tour and I've just come"", 'start': 200.75, 'duration': 3.42}, {'text': 'back from the gala dinner for Birds', 'start': 202.489, 'duration': 3.36}, {'text': ""honey I'm sorry I'm gonna take you guys"", 'start': 204.17, 'duration': 4.08}, {'text': ""with me for shit there's a leak to me"", 'start': 205.849, 'duration': 4.771}, {'text': 'ate the best promotion to date really', 'start': 208.25, 'duration': 5.16}, {'text': ""isn't it more than classic twist if you"", 'start': 210.62, 'duration': 4.08}, {'text': 'enjoyed this video make sure you give a', 'start': 213.41, 'duration': 3.27}, {'text': 'big thumbs up subscribe to our YouTube', 'start': 214.7, 'duration': 3.45}, {'text': 'channel we will be vlogging throughout', 'start': 216.68, 'duration': 3.029}, {'text': 'the year Lord of the ship launches an', 'start': 218.15, 'duration': 3.69}, {'text': ""event we've got going on make sure you"", 'start': 219.709, 'duration': 4.291}, {'text': 'stay subscribe them see all our videos I', 'start': 221.84, 'duration': 4.019}, {'text': ""can't believe I enjoyed about this shit"", 'start': 224.0, 'duration': 4.44}, {'text': 'this is done from love it okay I will', 'start': 225.859, 'duration': 5.361}, {'text': 'see you guys again soon', 'start': 228.44, 'duration': 2.78}, {'text': 'you', 'start': 235.36, 'duration': 2.06}]"
N7b5,OtWvN_YOx7o,"[92, 110]","[{'text': 'from South Bend Indiana here is Kevin', 'start': 0.03, 'duration': 10.41}, {'text': 'Frazier and his opponent in the red', 'start': 2.79, 'duration': 11.67}, {'text': 'corner weighed in at 163 pounds he is', 'start': 10.44, 'duration': 7.62}, {'text': 'undefeated as a professional 20 wins 1', 'start': 14.46, 'duration': 9.239}, {'text': 'draw 15 wins by knockout tonight is also', 'start': 18.06, 'duration': 10.5}, {'text': 'his 22nd birthday on his 22nd fight from', 'start': 23.699, 'duration': 6.601}, {'text': 'Ann Arbor Michigan', 'start': 28.56, 'duration': 3.99}, {'text': 'here is the IBC and Michigan State', 'start': 30.3, 'duration': 4.919}, {'text': 'middleweight champion I give you James', 'start': 32.55, 'duration': 12.689}, {'text': 'lights out Tony popular man in these', 'start': 35.219, 'duration': 12.301}, {'text': 'parts James Toney the fighters make', 'start': 45.239, 'duration': 4.471}, {'text': 'their way to the center the referees for', 'start': 47.52, 'duration': 4.109}, {'text': 'this car tonight Sam Williams and Bob', 'start': 49.71, 'duration': 3.48}, {'text': 'Fisher Williams working this when the', 'start': 51.629, 'duration': 3.991}, {'text': 'timekeeper can pace counter of', 'start': 53.19, 'duration': 4.41}, {'text': 'knockdowns William hunter and the judges', 'start': 55.62, 'duration': 3.029}, {'text': 'Frank Parrish', 'start': 57.6, 'duration': 3.72}, {'text': 'Charlene white and Dario shirani the', 'start': 58.649, 'duration': 4.831}, {'text': 'position standing by at ringside sal', 'start': 61.32, 'duration': 5.01}, {'text': 'shapiro jules Reinhart and the announcer', 'start': 63.48, 'duration': 4.59}, {'text': 'in the ring is Wally Jackson inspectors', 'start': 66.33, 'duration': 3.48}, {'text': 'on hand from the Michigan State Board of', 'start': 68.07, 'duration': 4.2}, {'text': 'athletic control John Jackson John Kruse', 'start': 69.81, 'duration': 5.52}, {'text': 'emka and Hilmer Kent E and Rose Grable', 'start': 72.27, 'duration': 5.34}, {'text': 'and Jim birch are Commission members at', 'start': 75.33, 'duration': 5.039}, {'text': ""ringside ten rounds I don't know if"", 'start': 77.61, 'duration': 5.25}, {'text': ""it'll make it J was only promised to"", 'start': 80.369, 'duration': 4.11}, {'text': ""knockout I was just gonna say don't"", 'start': 82.86, 'duration': 5.07}, {'text': 'leave your seats right now I think James', 'start': 84.479, 'duration': 5.731}, {'text': 'wanted wants to take this out with', 'start': 87.93, 'duration': 7.07}, {'text': 'dispatch look at this', 'start': 90.21, 'duration': 4.79}, {'text': ""I'm not sure we're not sure who that is"", 'start': 95.94, 'duration': 7.81}, {'text': 'from Frasier the quickest to the center', 'start': 98.92, 'duration': 6.48}, {'text': ""of the Ring he's 11 and 5 hails from"", 'start': 103.75, 'duration': 3.75}, {'text': 'South Bend Indiana fairly skilled fellow', 'start': 105.4, 'duration': 3.87}, {'text': 'had something of a checkered career', 'start': 107.5, 'duration': 4.41}, {'text': 'began back in the early 80s but for a', 'start': 109.27, 'duration': 4.59}, {'text': 'couple years took a terrible beating in', 'start': 111.91, 'duration': 4.71}, {'text': 'a knock out laid off a season he fought', 'start': 113.86, 'duration': 8.28}, {'text': 'considerably since then in very several', 'start': 116.62, 'duration': 7.41}, {'text': ""instances we're told as Tony tries to"", 'start': 122.14, 'duration': 2.97}, {'text': 'work the body with a couple of', 'start': 124.03, 'duration': 3.78}, {'text': ""navigation we're told rich and he got in"", 'start': 125.11, 'duration': 3.78}, {'text': ""against guys he shouldn't have been"", 'start': 127.81, 'duration': 2.85}, {'text': 'against and it really took away a lot of', 'start': 128.89, 'duration': 3.66}, {'text': 'his confidence maybe ruined his career', 'start': 130.66, 'duration': 4.05}, {'text': 'from a national perspective well you', 'start': 132.55, 'duration': 4.17}, {'text': ""know he has a yes a brother that's been"", 'start': 134.71, 'duration': 3.6}, {'text': 'a fighter to champion and a lot of times', 'start': 136.72, 'duration': 3.96}, {'text': 'very difficult following in your', 'start': 138.31, 'duration': 4.08}, {'text': ""brother's footsteps especially if he is"", 'start': 140.68, 'duration': 4.02}, {'text': 'successful you want to try and be as', 'start': 142.39, 'duration': 4.68}, {'text': 'successful as he can much faster so the', 'start': 144.7, 'duration': 3.6}, {'text': 'pressure could have been on him and he', 'start': 147.07, 'duration': 2.55}, {'text': 'took some fight bidding he should have', 'start': 148.3, 'duration': 4.83}, {'text': 'written the defense to Frasier early', 'start': 149.62, 'duration': 5.31}, {'text': ""going he's got to keep his elbows in"", 'start': 153.13, 'duration': 4.53}, {'text': ""Tony's working on the arms trying to get"", 'start': 154.93, 'duration': 4.59}, {'text': 'to the body not our punching for brazier', 'start': 157.66, 'duration': 3.78}, {'text': 'and it scores a couple of points right', 'start': 159.52, 'duration': 4.98}, {'text': 'there Tony spins him around and delivers', 'start': 161.44, 'duration': 6.15}, {'text': 'a couple of blows Lee separates Tony', 'start': 164.5, 'duration': 5.42}, {'text': 'quicker', 'start': 167.59, 'duration': 2.33}, {'text': ""I'm carrying a left hand down low"", 'start': 170.43, 'duration': 5.49}, {'text': ""defensively I'm continually more and"", 'start': 172.92, 'duration': 5.55}, {'text': 'more curious about that on behalf of', 'start': 175.92, 'duration': 4.98}, {'text': ""Tony I don't like that technique rich I"", 'start': 178.47, 'duration': 3.78}, {'text': ""think you're too open with your left"", 'start': 180.9, 'duration': 3.449}, {'text': 'hand defensively down around your belt', 'start': 182.25, 'duration': 3.989}, {'text': ""or than five where it is now I don't"", 'start': 184.349, 'duration': 3.691}, {'text': 'like that either Chris and you know who', 'start': 186.239, 'duration': 3.571}, {'text': 'made that popular is Thomas harness', 'start': 188.04, 'duration': 4.169}, {'text': ""you're very very successful with it but"", 'start': 189.81, 'duration': 4.56}, {'text': ""hey not everybody's the Hitman not"", 'start': 192.209, 'duration': 4.321}, {'text': 'everybody has that I hand coordination', 'start': 194.37, 'duration': 4.319}, {'text': 'and the hand speed to react when it', 'start': 196.53, 'duration': 3.989}, {'text': 'really becomes necessary play defense', 'start': 198.689, 'duration': 5.94}, {'text': 'from down there Tony seems very', 'start': 200.519, 'duration': 15.241}, {'text': 'confident here in this first round Tony', 'start': 204.629, 'duration': 15.631}, {'text': ""needs to move in he's trying Frazier has"", 'start': 215.76, 'duration': 6.03}, {'text': 'enough fights to understand about', 'start': 220.26, 'duration': 5.28}, {'text': 'covering up that was a good stiff short', 'start': 221.79, 'duration': 5.61}, {'text': 'chopping right hand came almost to the', 'start': 225.54, 'duration': 5.399}, {'text': '3/4 angle not quite an uppercut Tony', 'start': 227.4, 'duration': 5.13}, {'text': 'showing me something there to Chris he', 'start': 230.939, 'duration': 3.541}, {'text': 'did not go in for the kill he did not', 'start': 232.53, 'duration': 5.76}, {'text': 'give why did the crazy control very', 'start': 234.48, 'duration': 9.0}, {'text': 'important and I think the right hand', 'start': 238.29, 'duration': 7.409}, {'text': ""counter it's wide open quirements Otis"", 'start': 243.48, 'duration': 4.589}, {'text': 'going to that fight that may carry the', 'start': 245.699, 'duration': 4.171}, {'text': 'round for him if nothing else pallet', 'start': 248.069, 'duration': 3.45}, {'text': 'showed Warbeck raising right hand punch', 'start': 249.87, 'duration': 4.079}, {'text': 'on that one but he is getting through', 'start': 251.519, 'duration': 6.741}, {'text': 'the deepest razor straight of jabs', 'start': 253.949, 'duration': 4.311}, {'text': ""to the body but that really well we're"", 'start': 263.77, 'duration': 6.66}, {'text': 'down towards the end of round number one', 'start': 268.34, 'duration': 8.76}, {'text': 'James Toney and Kevin Frazier ring', 'start': 270.43, 'duration': 8.68}, {'text': 'continually getting better and I think a', 'start': 277.1, 'duration': 4.53}, {'text': 'new measure of maturity not just because', 'start': 279.11, 'duration': 4.05}, {'text': 'of what happened to get Santa likely', 'start': 281.63, 'duration': 4.2}, {'text': 'here comes Frazier he wants to start', 'start': 283.16, 'duration': 4.83}, {'text': ""fast that's a trip there will be no"", 'start': 285.83, 'duration': 4.44}, {'text': 'count Williams moves in to clean the', 'start': 287.99, 'duration': 5.7}, {'text': 'gloves in Annie rosin or foreign matter', 'start': 290.27, 'duration': 5.55}, {'text': 'that might be their braziers scores with', 'start': 293.69, 'duration': 7.47}, {'text': 'a left hand to the chin of Tony Frazier', 'start': 295.82, 'duration': 7.85}, {'text': 'continues to be the aggressor', 'start': 301.16, 'duration': 4.95}, {'text': 'particularly classiness in combinations', 'start': 303.67, 'duration': 3.76}, {'text': 'but some of that stuff is getting', 'start': 306.11, 'duration': 4.53}, {'text': 'through Tony regrouping right now he', 'start': 307.43, 'duration': 5.04}, {'text': 'lost the first little bit around number', 'start': 310.64, 'duration': 3.81}, {'text': 'one yeah doing the same here in round', 'start': 312.47, 'duration': 4.71}, {'text': ""number two Oh brace you're slowing down"", 'start': 314.45, 'duration': 4.11}, {'text': 'a little bit now I think he was trying', 'start': 317.18, 'duration': 3.6}, {'text': 'to catch catch Tony off guard a little', 'start': 318.56, 'duration': 5.1}, {'text': ""bit by coming out so so fast it didn't"", 'start': 320.78, 'duration': 5.85}, {'text': ""work he may have already decided he's"", 'start': 323.66, 'duration': 5.04}, {'text': 'not going to win the second half of any', 'start': 326.63, 'duration': 3.9}, {'text': 'given round so he might as well get his', 'start': 328.7, 'duration': 3.6}, {'text': 'shots in while he can and hope for the', 'start': 330.53, 'duration': 4.05}, {'text': 'best before he gets a little bit weary', 'start': 332.3, 'duration': 5.55}, {'text': 'also he is 32 years of age he knows that', 'start': 334.58, 'duration': 6.24}, {'text': 'if the bout goes long while he got hit', 'start': 337.85, 'duration': 6.17}, {'text': 'there with a good left about goes longer', 'start': 340.82, 'duration': 5.34}, {'text': ""it's going to be a favor of Tony because"", 'start': 344.02, 'duration': 3.1}, {'text': ""he's 10 years younger"", 'start': 346.16, 'duration': 3.06}, {'text': 'Tony climbing the ladder was left hook', 'start': 347.12, 'duration': 3.84}, {'text': 'to the ribs up down the shoulder then', 'start': 349.22, 'duration': 4.61}, {'text': 'one to the jaw', 'start': 350.96, 'duration': 2.87}, {'text': 'missed there by brazier off the rope', 'start': 354.48, 'duration': 7.06}, {'text': 'Tony is hurting Fraser every time he', 'start': 358.89, 'duration': 5.2}, {'text': 'hits him miss Toller the second round', 'start': 361.54, 'duration': 5.16}, {'text': 'his punches have good authority as it', 'start': 364.09, 'duration': 4.02}, {'text': 'could knock our record prior to the', 'start': 366.7, 'duration': 3.27}, {'text': 'Wizards fight not to go he had a five', 'start': 368.11, 'duration': 5.82}, {'text': 'knockout straight grabbing my hands the', 'start': 369.97, 'duration': 7.17}, {'text': ""pressure right into his own face that's"", 'start': 373.93, 'duration': 5.34}, {'text': 'got to tell you how strong James Tony is', 'start': 377.14, 'duration': 4.49}, {'text': 'and how are you', 'start': 379.27, 'duration': 5.92}, {'text': 'parent a physical specimen we', 'start': 381.63, 'duration': 3.56}, {'text': ""he's very weary he's ready to go to the"", 'start': 387.3, 'duration': 6.09}, {'text': 'telling blow the finish off a flurry', 'start': 395.85, 'duration': 5.5}, {'text': 'racers down first any time you sit down', 'start': 398.86, 'duration': 5.04}, {'text': ""in the bout he'll take the full count I"", 'start': 401.35, 'duration': 4.5}, {'text': ""think pop up when Sam gets to eight he's"", 'start': 403.9, 'duration': 4.02}, {'text': ""at seven now there's eight but he's"", 'start': 405.85, 'duration': 3.68}, {'text': 'still in trouble', 'start': 407.92, 'duration': 3.99}, {'text': ""well he's hurt no doubt about it we'll"", 'start': 409.53, 'duration': 3.73}, {'text': 'see what kind of a finisher Tony is', 'start': 411.91, 'duration': 3.03}, {'text': 'right now there goes the mouthpiece and', 'start': 413.26, 'duration': 5.67}, {'text': ""they had a big hog that's it TKO in the"", 'start': 414.94, 'duration': 7.62}, {'text': 'second round there was some good work to', 'start': 418.93, 'duration': 5.37}, {'text': 'the face a couple of right counter', 'start': 422.56, 'duration': 4.08}, {'text': 'punches that were telling blows and set', 'start': 424.3, 'duration': 4.38}, {'text': 'the man up he climbed the ladders where', 'start': 426.64, 'duration': 4.44}, {'text': 'the series of laps about 30 seconds', 'start': 428.68, 'duration': 4.77}, {'text': 'prior to the big body blow that led to', 'start': 431.08, 'duration': 4.14}, {'text': 'the first knockdown and from there it', 'start': 433.45, 'duration': 3.84}, {'text': 'was at just a matter of time rich well', 'start': 435.22, 'duration': 3.84}, {'text': 'you got a Wonderbra sure was it was in', 'start': 437.29, 'duration': 4.59}, {'text': 'shape for this fight Chris because he', 'start': 439.06, 'duration': 5.4}, {'text': 'came out and he looked like he was he', 'start': 441.88, 'duration': 4.35}, {'text': 'was going for everything in the first', 'start': 444.46, 'duration': 3.72}, {'text': 'opening seconds of that round you have', 'start': 446.23, 'duration': 4.32}, {'text': ""to wonder if he knew that there's no way"", 'start': 448.18, 'duration': 4.05}, {'text': 'he was going to go ten and if he was', 'start': 450.55, 'duration': 2.73}, {'text': 'gonna win this fight he was going to', 'start': 452.23, 'duration': 2.22}, {'text': 'have to do it right there and then', 'start': 453.28, 'duration': 2.85}, {'text': ""because there wasn't so much longer but"", 'start': 454.45, 'duration': 3.63}, {'text': ""he does work a full-time job this isn't"", 'start': 456.13, 'duration': 5.69}, {'text': 'his primary occupation and that does', 'start': 458.08, 'duration': 6.18}, {'text': ""create a problem when you don't have it"", 'start': 461.82, 'duration': 5.56}, {'text': '100% committed to the boxing game that', 'start': 464.26, 'duration': 5.19}, {'text': 'was the first knockdown and a good solid', 'start': 467.38, 'duration': 3.93}, {'text': 'body shot and this is what finished it', 'start': 469.45, 'duration': 3.51}, {'text': ""on it is there's the left hook right"", 'start': 471.31, 'duration': 4.71}, {'text': ""across the eye and there wasn't much"", 'start': 472.96, 'duration': 5.43}, {'text': 'left but that took the remainder out of', 'start': 476.02, 'duration': 4.32}, {'text': 'the man and Frazier went down and Sam', 'start': 478.39, 'duration': 2.37}, {'text': 'Williams', 'start': 480.34, 'duration': 2.82}, {'text': 'I think judiciously improperly stepped', 'start': 480.76, 'duration': 5.42}, {'text': ""in and said he's defenseless"", 'start': 483.16, 'duration': 3.02}]"
8Ib5,WL95lupJ-sg,"[0, 1, 35, 3320]",
nUb5,TyFukuGehl4,"[2, 44, 64, 113, 119]",
RFb5,wJcdn7MOqOo,"[11, 20, 22, 29, 32, 120, 692, 1209]",
BHb5,wTlAJ_mX3jg,"[3, 433]",
vWb5,w_k9RoWdp8A,"[6, 8]",
YAb5,0S4b0xN2M9c,"[66, 293, 1313]",
wQb5,r6TVVFIejn0,"[0, 312]",
Hjb5,emYQbOiO5qk,"[11, 20, 22, 29, 32, 122, 303]",
L1b5,_rs5_6o4DwA,"[9, 10, 34, 539]",
5lb5,mRyl-SLjIQo,"[5, 16]",
